"outcome","label","b1","b1_se","b1_boot_lo","b1_boot_hi","b2","b2_se","b2_boot_lo","b2_boot_hi","CombinedEffect","CombinedEffect_se","Begin","Begin_se","Lower","Lower_se","Total","Total_se","N","n_clusters","adj_r2","within_r2","b1_us","b2_us","Begin_us","Lower_us","Total_us","diff_Total"
"lsumemission","Log(Air Emissions)",-0.192604842864823,0.0636462195721083,-0.308280734682975,-0.0601906232647902,-0.307965260033204,0.067666131914656,-0.420974208031293,-0.181604801758279,-0.500570102898028,0.0913134641359999,-17.5192161546422,5.24959007910124,-26.5059150613709,4.97306044640421,-39.3815026626457,5.53528498259271,64294,22,0.749606090492995,0.00186464600827474,-0.6051,-0.3688,-45.4,-30.84,-62.24,22.8584973373543
"lsumreleases","Log(Total Releases)",-0.194056617799843,0.0634351361654854,-0.314159171113401,-0.0677842224218328,-0.306378447062944,0.0676070191814994,-0.458009034479127,-0.183428024621676,-0.500435064862788,0.0912069603503639,-17.6388728109663,5.22458931797922,-26.3892011170428,4.97660669204558,-39.3733163071438,5.52957553574839,64294,22,0.752260343300988,0.00193863854810117,-0.8697,-0.9492,-56.74,-61.74,-83.45,44.0766836928562
