"outcome","b1","b1_se","b2","b2_se","CombinedEffect","CombinedEffect_se","Begin","Begin_se","Lower","Lower_se","Total","Total_se","N","adj_r2","within_r2","Begin_paper","Lower_paper","Total_paper","CombinedEffect_paper"
"lsumemission",-0.61147990967043,0.27574634160291,-0.36645080620866,0.308120426797562,-0.97793071587909,0.393496494339288,-45.7452646419255,14.9605447896231,-30.6809763700358,21.3586071460549,-62.3911471767618,14.7989517420665,4831,0.765384133945386,0.0399636074675103,-45.4,-30.841,-62.239,-0.9739
"lsumemission_metal1",-0.407989058719913,0.159066080487084,-0.951405612218004,0.349865372195082,-1.35939467093792,0.390079634411335,-33.501384541763,10.5776741187596,-61.3802202581254,13.5117236134831,-74.3183811786327,10.0178764809302,4831,0.781411747569861,0.0414112360767712,-35.139,-61.027,-74.722,-1.3752
"lsumemission_metal0",-0.605025261043739,0.30531312864562,-0.361477625131559,0.320671882438511,-0.966502886175299,0.436340346167357,-45.3939367596038,16.6719480109459,-30.3353816732186,22.3394842982094,-61.9588944602971,16.5988691597829,4831,0.672435755374426,0.025079044026463,-44.739,-30.638,-61.67,-0.9589
"lsumreleases",-0.869657259871351,0.24104066016304,-0.949174828904161,0.336898743321012,-1.81883208877551,0.409457287881236,-58.0904834634377,10.1018975330868,-61.2939717327745,13.0400122821758,-83.7784906827006,6.64201521040159,4831,0.716221300672622,0.0639838691887447,-56.742,-61.738,-83.449,-1.7987
"lsumreleases_metal1",-0.424002384618131,0.158174051396623,-1.05985207508204,0.355182671300446,-1.48385445970017,0.393131873488192,-34.5577678640335,10.3512629893841,-65.3492936431902,12.307330446259,-77.3238043092244,8.91473529549947,4831,0.779313059293459,0.0445230197546403,-36.145,-65.038,-77.675,-1.4995
"lsumreleases_metal0",-0.814924909775046,0.278940202806881,-0.900588354541153,0.342328859509978,-1.7155132643162,0.444905366488161,-55.7327433504032,12.3479175475428,-59.366947700951,13.9098664519427,-82.0128624542151,8.0025740218804,4831,0.621058400166334,0.0368585221171144,-53.658,-60.04,-81.482,-1.6864
