"outcome","year","estimate","std_err","ci_lo","ci_hi","rel_year"
"lsumemission",2000,-1.17389549387649,0.544657444745935,-2.24676997145656,-0.101021016296408,-8
"lsumemission",2001,0.188815018438486,0.186482866823137,-0.178521754886692,0.556151791763664,-7
"lsumemission",2002,0.082880126511241,0.141469172673373,-0.195787990834389,0.361548243856871,-6
"lsumemission",2003,-0.0173179572726333,0.10553740554057,-0.225207135923838,0.190571221378572,-5
"lsumemission",2004,-0.049131257765227,0.114725335086879,-0.27511895908812,0.176856443557666,-4
"lsumemission",2005,-0.0013206294288147,0.102560083547847,-0.203345034159558,0.200703775301929,-3
"lsumemission",2006,-0.0648305902349226,0.0998977616803841,-0.261610713059198,0.131949532589353,-2
"lsumemission",2007,-0.0593778487061338,0.0900289807454968,-0.236718297489401,0.117962600077134,-1
"lsumemission",2008,NA,NA,NA,NA,0
"lsumemission",2009,-0.382892345032663,0.248729864574945,-0.872844196583847,0.107059506518522,1
"lsumemission",2010,-0.386071605408768,0.144269053606604,-0.670254970590453,-0.101888240227083,2
"lsumemission",2011,-0.697494817209837,0.255654916958451,-1.20108774175073,-0.193901892668942,3
"lsumemission",2012,-1.31578065030479,0.46406220681164,-2.22989740846265,-0.401663892146931,4
"lsumemission",2013,-0.961838790056184,0.34678277811648,-1.64493675464756,-0.278740825464811,5
"lsumemission",2014,-0.898731932287048,0.321126343860641,-1.53129146439332,-0.266172400180778,6
"lsumemission",2015,-0.874661395409648,0.42201927653231,-1.70596135321988,-0.0433614375994165,7
"lsumemission",2016,-1.10802817680613,0.463216220493467,-2.02047849831118,-0.195577855301086,8
"lsumemission",2017,-1.3437429271536,0.432451303491339,-2.19559204954744,-0.491893804759766,9
"lsumemission",2018,-1.19624919314342,0.466858278325332,-2.11587369528508,-0.276624691001772,10
"lsumemission",2019,-1.23401149100159,0.524599394829754,-2.26737531829553,-0.200647663707649,11
"lsumreleases",2000,-0.801936184668715,0.520271832824107,-1.82677551483002,0.222903145492594,-8
"lsumreleases",2001,0.0402477610883883,0.257041618531593,-0.466076709197812,0.546572231374589,-7
"lsumreleases",2002,-0.104385915803167,0.203131466974704,-0.504517353669071,0.295745522062737,-6
"lsumreleases",2003,-0.133729155382674,0.202446406567815,-0.532511150891292,0.265052840125945,-5
"lsumreleases",2004,-0.172728279278059,0.19574908536668,-0.558317790126515,0.212861231570397,-4
"lsumreleases",2005,-0.150135024635647,0.176379384731965,-0.497569806030169,0.197299756758874,-3
"lsumreleases",2006,-0.16783387967513,0.164435285863663,-0.49174099435526,0.156073235004999,-2
"lsumreleases",2007,-0.187045510970049,0.189130573203617,-0.559597776394244,0.185506754454145,-1
"lsumreleases",2008,NA,NA,NA,NA,0
"lsumreleases",2009,-0.727885900527675,0.307837936451357,-1.33426972661058,-0.12150207444477,1
"lsumreleases",2010,-0.544018253235072,0.194097390644243,-0.926354230822299,-0.161682275647845,2
"lsumreleases",2011,-0.915543445809472,0.269438582232188,-1.44628764281043,-0.384799248808512,3
"lsumreleases",2012,-1.68802696589014,0.385365859394433,-2.4471264679044,-0.928927463875878,4
"lsumreleases",2013,-1.50923633742307,0.341423626305471,-2.18177776367098,-0.836694911175148,5
"lsumreleases",2014,-1.7083613602113,0.397941070040169,-2.49223170247047,-0.924491017952122,6
"lsumreleases",2015,-1.83387619850079,0.440640192233252,-2.7018559178702,-0.965896479131382,7
"lsumreleases",2016,-1.91139137736746,0.438939185177933,-2.77602042729603,-1.04676232743889,8
"lsumreleases",2017,-2.1677027856926,0.478071325848402,-3.10941491854497,-1.22599065284022,9
"lsumreleases",2018,-2.14948044588193,0.474353877232244,-3.08386989218983,-1.21509099957403,10
"lsumreleases",2019,-2.35209875712464,0.480951110716977,-3.29948353379418,-1.40471398045509,11
